Instance,Total Cost,CPU_time,Expanded nodes,Generated nodes
instances_size_20/test_1.txt,162,0.19445,33,65
instances_size_20/test_10.txt,200,0.10245,22,43
instances_size_20/test_11.txt,153,0.03995,5,9
instances_size_20/test_12.txt,175,0.0215,1,1
instances_size_20/test_13.txt,214,0.08845,8,15
instances_size_20/test_14.txt,129,0.02404,1,1
instances_size_20/test_15.txt,181,0.23829,61,121
instances_size_20/test_16.txt,148,4.2313,1586,3171
instances_size_20/test_17.txt,155,1.2388,196,391
instances_size_20/test_18.txt,186,0.0718,7,13
instances_size_20/test_19.txt,163,0.03497,3,5
instances_size_20/test_2.txt,176,0.10284,8,15
instances_size_20/test_20.txt,212,100.29228,23083,46165
instances_size_20/test_21.txt,201,0.31061,6,11
instances_size_20/test_22.txt,208,0.35922,23,45
instances_size_20/test_23.txt,199,0.08175,9,17
instances_size_20/test_24.txt,177,0.04787,7,13
instances_size_20/test_25.txt,227,1.40427,264,527
instances_size_20/test_26.txt,200,10.86332,2128,4255
instances_size_20/test_27.txt,218,0.56062,56,111
instances_size_20/test_28.txt,188,0.03017,5,9
instances_size_20/test_29.txt,247,0.68392,164,327
instances_size_20/test_3.txt,235,0.10452,7,13
instances_size_20/test_30.txt,159,0.2432,41,81
instances_size_20/test_31.txt,140,0.06647,13,25
instances_size_20/test_32.txt,136,0.05998,6,11
instances_size_20/test_33.txt,159,0.05016,4,7
instances_size_20/test_34.txt,242,3.24963,511,1021
instances_size_20/test_35.txt,182,0.10423,9,17
instances_size_20/test_36.txt,146,0.05778,7,13
instances_size_20/test_37.txt,171,0.10777,10,19
instances_size_20/test_38.txt,119,0.1597,32,63
instances_size_20/test_39.txt,141,0.05873,8,15
instances_size_20/test_4.txt,188,0.6039,72,143
instances_size_20/test_40.txt,127,0.04911,3,5
instances_size_20/test_41.txt,142,0.08937,8,15
instances_size_20/test_42.txt,120,0.03569,1,1
instances_size_20/test_43.txt,None,inf,,
instances_size_20/test_44.txt,172,7.95838,759,1517
instances_size_20/test_45.txt,126,0.07134,9,17
instances_size_20/test_46.txt,159,0.09449,7,13
instances_size_20/test_47.txt,196,0.07959,6,11
instances_size_20/test_48.txt,257,0.10218,6,11
instances_size_20/test_49.txt,137,0.24147,33,65
instances_size_20/test_5.txt,203,0.10164,10,19
instances_size_20/test_50.txt,149,0.06326,7,13
instances_size_20/test_6.txt,237,0.09718,6,11
instances_size_20/test_7.txt,202,0.15496,15,29
instances_size_20/test_8.txt,199,0.08649,6,11
instances_size_20/test_9.txt,141,0.09699,8,15
