Instance,Node Expanded,CPU_time
instances_size_10/test_1.txt,57,0.01368976
instances_size_10/test_10.txt,35,0.00255108
instances_size_10/test_11.txt,48,0.00379801
instances_size_10/test_12.txt,61,0.00515008
instances_size_10/test_13.txt,21,0.00221610
instances_size_10/test_14.txt,42,0.00577998
instances_size_10/test_15.txt,37,0.00213814
instances_size_10/test_16.txt,48,0.00670791
instances_size_10/test_17.txt,47,0.00607395
instances_size_10/test_18.txt,57,0.00485492
instances_size_10/test_19.txt,31,0.00194979
instances_size_10/test_2.txt,54,0.10526085
instances_size_10/test_20.txt,61,0.00402117
instances_size_10/test_21.txt,62,0.26956606
instances_size_10/test_22.txt,43,0.00506997
instances_size_10/test_23.txt,33,0.00568390
instances_size_10/test_24.txt,32,0.00323415
instances_size_10/test_25.txt,51,0.00305009
instances_size_10/test_26.txt,50,0.00399613
instances_size_10/test_27.txt,42,0.00444508
instances_size_10/test_28.txt,63,0.00537705
instances_size_10/test_29.txt,49,0.00422311
instances_size_10/test_3.txt,30,0.00314307
instances_size_10/test_30.txt,32,0.00293994
instances_size_10/test_31.txt,56,0.02731013
instances_size_10/test_32.txt,54,0.00371885
instances_size_10/test_33.txt,44,0.00477791
instances_size_10/test_34.txt,65,0.00866199
instances_size_10/test_35.txt,30,0.00284266
instances_size_10/test_36.txt,35,0.00324607
instances_size_10/test_37.txt,35,0.00373912
instances_size_10/test_38.txt,52,0.01490617
instances_size_10/test_39.txt,50,0.00841808
instances_size_10/test_4.txt,44,0.00269485
instances_size_10/test_40.txt,45,0.00600910
instances_size_10/test_41.txt,61,0.01448894
instances_size_10/test_42.txt,47,0.01168203
instances_size_10/test_43.txt,47,inf
instances_size_10/test_44.txt,42,0.31778312
instances_size_10/test_45.txt,26,0.00206208
instances_size_10/test_46.txt,38,0.00586104
instances_size_10/test_47.txt,45,0.00315404
instances_size_10/test_48.txt,40,0.00339890
instances_size_10/test_49.txt,55,0.00528789
instances_size_10/test_5.txt,53,0.00645089
instances_size_10/test_50.txt,25,0.00281978
instances_size_10/test_6.txt,49,0.00749302
instances_size_10/test_7.txt,57,0.01219678
instances_size_10/test_8.txt,61,0.27052999
instances_size_10/test_9.txt,51,0.00296116
