Instance,Total Cost,CPU_time,Expanded nodes,Generated nodes
instances_size_20/test_1.txt,162,0.21062,33,65
instances_size_20/test_10.txt,200,0.16476,22,43
instances_size_20/test_11.txt,153,0.05413,5,9
instances_size_20/test_12.txt,175,0.03979,1,1
instances_size_20/test_13.txt,214,0.10409,8,15
instances_size_20/test_14.txt,129,0.03308,1,1
instances_size_20/test_15.txt,181,0.37557,65,129
instances_size_20/test_16.txt,148,6.68505,1586,3171
instances_size_20/test_17.txt,155,1.07443,196,391
instances_size_20/test_18.txt,186,0.06503,7,13
instances_size_20/test_19.txt,163,0.04171,3,5
instances_size_20/test_2.txt,176,0.09595,8,15
instances_size_20/test_20.txt,212,139.49887,23083,46165
instances_size_20/test_21.txt,201,0.29784,6,11
instances_size_20/test_22.txt,208,0.37643,23,45
instances_size_20/test_23.txt,199,0.10419,9,17
instances_size_20/test_24.txt,177,0.07252,7,13
instances_size_20/test_25.txt,227,2.09998,264,527
instances_size_20/test_26.txt,200,15.97421,2128,4255
instances_size_20/test_27.txt,218,0.75142,57,113
instances_size_20/test_28.txt,188,0.06699,5,9
instances_size_20/test_29.txt,247,1.37956,164,327
instances_size_20/test_3.txt,235,0.09987,7,13
instances_size_20/test_30.txt,159,0.20925,41,81
instances_size_20/test_31.txt,140,0.08216,13,25
instances_size_20/test_32.txt,136,0.06042,6,11
instances_size_20/test_33.txt,159,0.05397,4,7
instances_size_20/test_34.txt,242,4.41863,511,1021
instances_size_20/test_35.txt,182,0.10538,9,17
instances_size_20/test_36.txt,146,0.04980,7,13
instances_size_20/test_37.txt,171,0.09198,10,19
instances_size_20/test_38.txt,119,0.13171,32,63
instances_size_20/test_39.txt,141,0.05104,8,15
instances_size_20/test_4.txt,188,0.72099,108,215
instances_size_20/test_40.txt,127,0.04462,3,5
instances_size_20/test_41.txt,142,0.08833,8,15
instances_size_20/test_42.txt,120,0.03522,1,1
instances_size_20/test_43.txt,195,99.02975,10017,20033
instances_size_20/test_44.txt,172,7.32573,753,1505
instances_size_20/test_45.txt,126,0.05179,5,9
instances_size_20/test_46.txt,159,0.08627,7,13
instances_size_20/test_47.txt,196,0.06777,5,9
instances_size_20/test_48.txt,257,0.09401,6,11
instances_size_20/test_49.txt,137,0.20201,31,61
instances_size_20/test_5.txt,203,0.09264,10,19
instances_size_20/test_50.txt,149,0.06043,7,13
instances_size_20/test_6.txt,237,0.08854,6,11
instances_size_20/test_7.txt,202,0.13812,15,29
instances_size_20/test_8.txt,199,0.07973,6,11
instances_size_20/test_9.txt,141,0.09484,8,15
